Tipo,Sugestão
Você já deu um apelido maldoso para algum professor ou chefe?,VERDADE
Qual é a sua maior mania de limpeza ou organização?,VERDADE
Se você pudesse ser um personagem de filme quem seria?,VERDADE
Você já fingiu gostar de uma banda só para impressionar alguém?,VERDADE
Qual é a coisa mais corajosa que você já fez na vida?,VERDADE
Você prefere ser a pessoa mais inteligente ou a mais engraçada da sala?,VERDADE
Qual é a sua maior superstição (ex: não passar debaixo de escada)?,VERDADE
Você já teve uma queda por algum parente distante ou amigo da família?,VERDADE
Qual é o sonho mais bizarro que você consegue lembrar?,VERDADE
Você já mandou uma mensagem para o grupo errado e passou vergonha?,VERDADE
Qual é a sua rede social favorita e por quê?,VERDADE
Se você fosse naufragar e pudesse levar apenas 3 objetos o que levaria?,VERDADE
Qual foi a maior loucura que você já fez por amor ou amizade?,VERDADE
Você já bisbilhotou o celular de outra pessoa sem ela saber?,VERDADE
Qual é o seu maior talento escondido que ninguém aqui conhece?,VERDADE
Você prefere viajar para o passado ou para o futuro?,VERDADE
Qual é a primeira coisa que você faz ao acordar?,VERDADE
Você já passou por alguma experiência sobrenatural ou inexplicável?,VERDADE
Qual é a pessoa que você mais admira no mundo?,VERDADE
Você já mentiu no currículo ou em uma entrevista de emprego?,VERDADE
Qual é o seu maior vício (café redes sociais doces)?,VERDADE
Se você tivesse que comer apenas uma coisa pelo resto da vida o que seria?,VERDADE
Qual é a música que você quer que toque no seu funeral?,VERDADE
Você já quebrou algo na casa de alguém e não contou?,VERDADE
Qual é a sua maior insegurança física?,VERDADE
Se você pudesse mudar uma lei no país qual seria?,VERDADE
Faça uma leitura dramática da lista de ingredientes de um produto.,DESAFIO
Tente fazer uma ponte humana com alguém da roda.,DESAFIO
Ligue para uma pizzaria e tente pedir um sushi.,DESAFIO
Fique em posição de prancha (plank) por 45 segundos.,DESAFIO
Deixe alguém do grupo postar um emoji de berinjela em um post aleatório seu.,DESAFIO
Tente equilibrar um copo de plástico na cabeça enquanto dá um giro de 360 graus.,DESAFIO
Imite um influenciador digital vendendo um produto inútil por 1 minuto.,DESAFIO
Coma uma fatia de limão sem fazer nenhuma careta.,DESAFIO
Tente fazer um truque de mágica simples (mesmo que falhe).,DESAFIO
Fale o nome de 10 capitais de países em 15 segundos.,DESAFIO
Deixe alguém escrever uma palavra na sua testa com batom.,DESAFIO
Tente assobiar com biscoitos ou farofa na boca.,DESAFIO
Faça uma imitação de alguém desta roda até que o grupo adivinhe quem é.,DESAFIO
Mande um áudio cantando o refrão de uma música de sofrência para o seu ex.,DESAFIO
Aja como um comentarista de futebol narrando as ações da roda por 2 minutos.,DESAFIO
Tente colocar os dois pés atrás da cabeça (ou chegue o mais perto disso).,DESAFIO
Deixe alguém do grupo mudar a sua foto de perfil por 10 minutos.,DESAFIO
Dê um abraço de 30 segundos na pessoa que você menos conhece na roda.,DESAFIO
Tente fazer um "beatbox" básico por 30 segundos.,DESAFIO
Coma uma colher de farinha de trigo pura (cuidado para não engasgar!).,DESAFIO
Tente equilibrar uma vassoura na palma da mão por 10 segundos.,DESAFIO
Fale como se estivesse debaixo d'água até a sua próxima rodada.,DESAFIO
Faça 15 agachamentos enquanto canta o hino nacional.,DESAFIO
Deixe alguém fazer um penteado de "antena" no seu cabelo com elásticos.,DESAFIO
Tente fazer uma mímica de "alguém trocando uma lâmpada e levando um choque".,DESAFIO
Mande uma mensagem para sua mãe dizendo "Eu fui preso" e desminta em 10 segundos.,DESAFIO
Cheire o pé da pessoa ao seu lado e dê uma nota de 0 a 10.,DESAFIO
Dance como se estivesse em uma festa de música eletrônica por 1 minuto.,DESAFIO
Tente desenhar um animal usando apenas a boca e uma caneta.,DESAFIO
Fale apenas em inglês (ou outro idioma) pelos próximos 5 minutos.,DESAFIO
Faça uma massagem nos ombros da pessoa à sua direita.,DESAFIO
Tente abrir um bombom ou doce usando apenas os dedos dos pés.,DESAFIO
Deixe o grupo escolher um vídeo aleatório para você imitar a coreografia.,DESAFIO
Fique sentado no colo de alguém por uma rodada inteira.,DESAFIO
Finja que você é um vendedor de TV e tente vender uma TV quebrada.,DESAFIO
Tente fazer uma rima para cada nome das pessoas presentes.,DESAFIO
Lamba a bochecha da pessoa ao seu lado (peça permissão antes!).,DESAFIO
Faça uma careta de "estou com muito sono" e tire uma foto.,DESAFIO
Tente falar um trava-língua difícil três vezes sem errar.,DESAFIO
Deixe alguém colocar um cubo de gelo dentro da sua camiseta.,DESAFIO
Aja como se você fosse um guia turístico apresentando a sala onde estão.,DESAFIO
Faça uma pose de estátua e fique assim por 2 minutos sem rir.,DESAFIO
Tente imitar o som de 5 animais diferentes em sequência.,DESAFIO
Mande um "Oi sumido(a)" para a quinta pessoa da sua lista de contatos.,DESAFIO
Deixe alguém pintar uma das suas unhas de cada cor diferente.,DESAFIO
Tente lamber o próprio joelho.,DESAFIO
Faça uma serenata para a pessoa mais séria do grupo.,DESAFIO
Tente andar como um modelo de passarela pela sala.,DESAFIO
Coma um pedaço de pão com uma combinação estranha escolhida pelo grupo.,DESAFIO
Grite o nome do seu crush mais antigo pela janela.,DESAFIO
